InfoCFO,InfoMeasurementCount,Initiatoro,Initiatorrr,InitiatorFLAGS,InitiatorGREF,InitiatorRXGAIN,InitiatorCFO,InitiatorRSSI,Reflectoro,Reflectorrr,ReflectorFLAGS,ReflectorGREF,ReflectorRXGAIN,ReflectorCFO,ReflectorRSSI,ResultDistance,ResultAoA,ResultDQF,ResultToF_Distance,ResultToF_SuccessRate,ResultInsideCircleOfTrust,ResultCFO,ResultLikeliness
0,0,0,-6,0,0,18,-4.0,-49,-1,-3,0,0,18,4.0,-49,2.29,,,,,,0.0,0.7
0,1,-1,-6,0,0,18,-5.0,-50,-1,-3,0,0,18,4.0,-48,2.16,,,,,,-0.12,0.67
0,2,-1,-5,0,0,18,-5.0,-50,0,-7,0,0,18,4.0,-49,4.97,,,,,,-0.38,0.41
0,3,-1,-4,0,0,18,-5.0,-49,0,-5,0,0,18,4.0,-49,2.3,,,,,,-0.66,0.71
0,4,-22,-4,0,0,18,-4.0,-49,20,-6,0,0,18,4.0,-49,5.0,,,,,,-0.91,0.44
0,5,-1,-5,0,0,18,-5.0,-50,0,-5,0,0,18,4.0,-48,2.29,,,,,,-1.16,0.71
0,6,-1,-5,0,0,18,-4.0,-49,0,-6,0,0,18,4.0,-49,5.28,,,,,,-1.41,0.47
0,7,0,-6,0,0,18,-4.0,-49,-1,-4,0,0,18,4.0,-49,5.21,,,,,,-1.66,0.47
0,8,-3,-5,0,0,18,-5.0,-50,1,-7,0,0,18,4.0,-49,5.06,,,,,,-1.91,0.42
0,9,-1,-5,0,0,18,-4.0,-50,0,-7,0,0,18,4.0,-50,5.17,,,,,,-2.16,0.46
0,10,-28,-4,0,0,18,-5.0,-49,27,-4,0,0,18,4.0,-49,5.31,,,,,,-2.41,0.48
0,11,-1,-7,0,0,18,-5.0,-50,-1,-4,0,0,18,4.0,-48,5.18,,,,,,-2.66,0.43
0,12,0,-5,0,0,18,-5.0,-49,-1,-4,0,0,18,4.0,-49,5.29,,,,,,-2.94,0.48
0,13,-21,-4,0,0,18,-5.0,-50,20,-5,0,0,18,4.0,-49,5.88,,,,,,-3.22,0.48
0,14,-23,-4,0,0,18,-5.0,-49,21,-5,0,0,18,4.0,-49,2.07,,,,,,-3.5,0.62
0,15,-1,-4,0,0,18,-5.0,-49,0,-4,0,0,18,4.0,-48,2.06,,,,,,-3.78,0.6
