meta.version,meta.error_msg,meta.initiator.sw_version,meta.initiator.unique_id,meta.initiator.zdc_mciq,meta.initiator.zdc_tof,meta.initiator.platform,meta.initiator.board_nr,meta.reflector.sw_version,meta.reflector.unique_id,meta.reflector.zdc_mciq,meta.reflector.zdc_tof,meta.reflector.platform,meta.reflector.board_nr,meta.testcase.f_offset,meta.testcase.meas_nr,meta.has_mciq,meta.has_tof,meta.profiling.t_total,meta.profiling.t_reference,meta.profiling.t_measurement,meta.profiling.t_parse,meta.profiling.t_pre_process,meta.profiling.t_calc_tof,meta.profiling.t_calc_mciq,meta.profiling.t_post_process,mciq.cfg.n_pairs,mciq.cfg.n_tones,mciq.cfg.t_intra,mciq.cfg.t_inter,mciq.cfg.t_intra_antenna,mciq.cfg.f_start,mciq.cfg.f_stop,mciq.cfg.f_delta,mciq.result.CDE_distance,mciq.result.CDE_dqi,mciq.result.distance,mciq.result.aoa,mciq.result.likeliness,mciq.initiator.flags,mciq.initiator.agc_idx,mciq.initiator.cfo,mciq.initiator.rssi,mciq.initiator.xtal_trim,mciq.reflector.flags,mciq.reflector.agc_idx,mciq.reflector.cfo,mciq.reflector.rssi,mciq.reflector.xtal_trim,tof.cfg.n_tones,tof.cfg.n_pairs,tof.cfg.radius_cot,tof.cfg.f_start,tof.cfg.f_stop,tof.cfg.f_delta,tof.result.in_cot,tof.result.distance,tof.result.successrate,tof.initiator.flags,tof.initiator.agc_idx,tof.initiator.cfo,tof.initiator.rssi,tof.initiator.temperature,tof.initiator.xtal_trim,tof.reflector.flags,tof.reflector.agc_idx,tof.reflector.cfo,tof.reflector.rssi,tof.reflector.temperature,tof.reflector.xtal_trim
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,0,True,True,0.451017,1626350947.638714,0.406034,0.012606,0.01348,1e-06,0.006213,0.012683,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,15.16,0.798,5.0607139549255375,,0.20599949595784,32768,19,-7500,-52,58,32768,19,8964,-53,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,23.3,94,2,20,0,-56,27,58,2,21,0,-56,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,1,True,True,0.43536,1626350948.08093,0.4034,0.012169,0.007503,1e-06,0.005959,0.006328,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,15.16,0.763,5.033267684936524,,0.20287493259203004,32768,19,-668,-52,58,32768,19,1888,-52,52,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,24.4,95,2,21,0,-55,27,58,6,22,-4192,-78,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,2,True,True,0.436093,1626350948.517505,0.40399,0.012361,0.007465,1e-06,0.005949,0.006327,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,15.16,0.69,5.042416282653809,,0.20073131474875894,32768,19,-2620,-52,58,32768,19,1888,-53,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,22.8,95,2,22,0,-74,27,58,2,22,0,-76,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,3,True,True,0.437303,1626350948.955304,0.405511,0.01209,0.007481,1e-06,0.005902,0.006318,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,15.11,0.769,0.6143297634124756,,0.0649273033069874,32768,19,-668,-52,58,32768,19,1400,-52,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,22.4,96,2,22,0,-71,27,58,6,22,0,-72,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,4,True,True,0.432824,1626350949.388956,0.400623,0.012298,0.007564,1e-06,0.005944,0.006394,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,15.15,1.0,5.0790125808715825,,0.2049868412192472,32768,19,-912,-52,58,32768,18,2132,-52,52,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,22.8,95,2,20,0,-56,27,58,6,21,0,-56,25,47
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,5,True,True,0.432535,1626350949.82164,0.400593,0.012233,0.007493,1e-06,0.005946,0.006269,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,15.11,0.848,4.99667138671875,,0.20150215648410913,32768,19,1528,-52,58,32768,19,-1528,-52,52,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,22.9,95,2,22,0,-73,27,58,2,22,0,-73,25,47
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,6,True,True,0.440115,1626350950.261356,0.407141,0.012271,0.007499,1e-06,0.006075,0.007128,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,15.15,0.948,1.0260319194793701,,0.10139076778395145,32768,19,1772,-53,58,32832,18,-1528,-53,52,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,24.4,97,2,21,0,-56,27,58,2,21,0,-57,25,47
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,7,True,True,0.439239,1626350950.702236,0.406944,0.01265,0.007454,1e-06,0.005879,0.006311,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,15.1,0.763,0.5136914930343628,,0.06736471637971864,32768,19,552,-52,58,32768,19,-1528,-52,52,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,23.5,92,2,21,0,-56,27,58,2,21,0,-57,25,47
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,8,True,True,0.441506,1626350951.144627,0.409238,0.012643,0.00745,1e-06,0.005863,0.006311,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,15.11,0.811,5.0241186103820805,,0.20003693761493438,32768,19,552,-52,58,32768,19,-2504,-52,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,22.7,94,2,22,0,-75,26,58,6,22,0,-76,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,9,True,True,0.436041,1626350951.580828,0.403891,0.012238,0.007483,1e-06,0.006023,0.006405,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,15.2,0.835,5.271139808654786,,0.17473650001703012,32768,19,64,-52,58,32768,19,668,-52,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,23.7,95,2,21,0,-56,27,58,2,22,0,-81,25,48
