meta.version,meta.error_msg,meta.initiator.sw_version,meta.initiator.unique_id,meta.initiator.zdc_mciq,meta.initiator.zdc_tof,meta.initiator.platform,meta.initiator.board_nr,meta.reflector.sw_version,meta.reflector.unique_id,meta.reflector.zdc_mciq,meta.reflector.zdc_tof,meta.reflector.platform,meta.reflector.board_nr,meta.testcase.f_offset,meta.testcase.meas_nr,meta.has_mciq,meta.has_tof,meta.profiling.t_total,meta.profiling.t_reference,meta.profiling.t_measurement,meta.profiling.t_parse,meta.profiling.t_pre_process,meta.profiling.t_calc_tof,meta.profiling.t_calc_mciq,meta.profiling.t_post_process,mciq.cfg.n_pairs,mciq.cfg.n_tones,mciq.cfg.t_intra,mciq.cfg.t_inter,mciq.cfg.t_intra_antenna,mciq.cfg.f_start,mciq.cfg.f_stop,mciq.cfg.f_delta,mciq.result.CDE_distance,mciq.result.CDE_dqi,mciq.result.distance,mciq.result.aoa,mciq.result.likeliness,mciq.initiator.flags,mciq.initiator.agc_idx,mciq.initiator.cfo,mciq.initiator.rssi,mciq.initiator.xtal_trim,mciq.reflector.flags,mciq.reflector.agc_idx,mciq.reflector.cfo,mciq.reflector.rssi,mciq.reflector.xtal_trim,tof.cfg.n_tones,tof.cfg.n_pairs,tof.cfg.radius_cot,tof.cfg.f_start,tof.cfg.f_stop,tof.cfg.f_delta,tof.result.in_cot,tof.result.distance,tof.result.successrate,tof.initiator.flags,tof.initiator.agc_idx,tof.initiator.cfo,tof.initiator.rssi,tof.initiator.temperature,tof.initiator.xtal_trim,tof.reflector.flags,tof.reflector.agc_idx,tof.reflector.cfo,tof.reflector.rssi,tof.reflector.temperature,tof.reflector.xtal_trim
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,0,True,True,0.4535,1626351539.476887,0.408411,0.012717,0.013577,1e-06,0.00605,0.012744,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.21,0.768,2.2519895515441894,,0.9305896460264804,32768,16,-668,-43,58,32832,16,-64,-42,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,3.5,100,0,18,0,-50,27,58,0,18,-288,-50,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,1,True,True,0.395253,1626351539.878664,0.362748,0.012637,0.007622,1e-06,0.005791,0.006454,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.21,0.772,2.233691879272461,,0.9286064350061083,32768,16,-912,-42,58,32768,16,912,-42,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,3.2,99,2,18,0,-49,27,58,2,18,-288,-49,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,2,True,True,0.442432,1626351540.319943,0.405021,0.012895,0.008964,1e-06,0.007192,0.008359,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.21,0.796,2.2519895515441894,,0.9319237834300049,32768,15,-1400,-45,58,32768,16,-64,-42,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,3.2,100,0,18,0,-49,27,58,0,18,-2240,-49,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,3,True,True,0.436866,1626351540.758845,0.404394,0.012365,0.00767,1e-06,0.005845,0.006591,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.21,0.764,2.242840476989746,,0.9293996944136445,32768,16,-2376,-42,58,32768,16,2376,-42,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,3.1,99,2,18,0,-50,27,58,0,18,-288,-49,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,4,True,True,0.43076,1626351541.18992,0.398018,0.01248,0.007487,1e-06,0.005759,0.007015,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.22,0.77,2.2519895515441894,,0.9306259784861438,32768,16,-1400,-42,58,32768,16,424,-42,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,3.7,100,0,18,0,-50,26,58,0,18,-288,-50,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,5,True,True,0.434595,1626351541.625526,0.402288,0.012715,0.007529,1e-06,0.005692,0.00637,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.2,0.769,2.233691879272461,,0.931931027944544,32768,16,-424,-42,58,32768,16,668,-42,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,3.1,99,2,18,0,-50,27,58,0,18,-288,-50,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,6,True,True,0.441097,1626351542.067254,0.40887,0.012389,0.007535,1e-06,0.005858,0.006444,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.22,0.764,2.233691879272461,,0.9296592073429473,32768,16,64,-42,58,32768,16,668,-41,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,3.4,99,2,18,0,-50,27,58,2,18,-288,-49,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,7,True,True,0.431733,1626351542.499377,0.399199,0.012692,0.007636,1e-06,0.005699,0.006506,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.21,0.77,2.2428409538269043,,0.9305071200711781,32768,16,-668,-42,58,32768,16,-64,-42,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,3.2,99,2,18,0,-50,27,58,2,18,-288,-50,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,8,True,True,0.433437,1626351542.933542,0.401105,0.012736,0.007499,1e-06,0.00574,0.006356,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.22,0.784,2.242840476989746,,0.9277438460417037,32768,16,-912,-42,58,32768,16,668,-42,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,3.6,100,0,18,0,-50,27,58,0,18,-288,-50,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,9,True,True,0.441859,1626351543.375264,0.409661,0.012523,0.007575,1e-06,0.00573,0.006369,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.22,0.768,2.2428409538269043,,0.9301368906788993,32768,16,-668,-42,58,32768,16,424,-42,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,3.8,100,0,18,0,-49,27,58,0,18,-4192,-50,25,50
