InfoCFO,InfoMeasurementCount,Initiatoro,Initiatorrr,InitiatorFLAGS,InitiatorGREF,InitiatorRXGAIN,InitiatorCFO,InitiatorRSSI,Reflectoro,Reflectorrr,ReflectorFLAGS,ReflectorGREF,ReflectorRXGAIN,ReflectorCFO,ReflectorRSSI,ResultDistance,ResultAoA,ResultDQF,ResultToF_Distance,ResultToF_SuccessRate,ResultInsideCircleOfTrust,ResultCFO,ResultLikeliness
0,0,1,-5,0,0,18,-4.0,-49,-2,-6,0,0,18,4.0,-49,3.32,,,,,,0.0,0.1
0,1,0,-4,0,0,18,-4.0,-47,-1,-4,0,0,18,4.0,-47,5.35,,,,,,-0.12,0.22
0,2,-1,-5,0,0,18,-4.0,-48,-1,-7,0,0,20,4.0,-53,4.65,,,,,,-0.38,0.22
0,3,-1,-5,0,0,18,-5.0,-49,0,-5,0,0,18,4.0,-48,4.92,,,,,,-0.62,0.29
0,4,-22,-5,0,0,18,-4.0,-50,21,-5,0,0,18,4.0,-50,9.02,,,,,,-0.88,0.22
0,5,-29,-4,0,0,18,-5.0,-49,28,-4,0,0,18,4.0,-48,5.11,,,,,,-1.12,0.26
0,6,-1,-5,0,0,18,-5.0,-50,0,-4,0,0,18,4.0,-49,0.97,,,,,,-1.38,0.06
0,7,-22,-4,0,0,18,-5.0,-49,21,-6,0,0,18,4.0,-49,9.63,,,,,,-1.66,0.26
0,8,0,-5,0,0,18,-4.0,-49,-1,-6,0,0,18,4.0,-49,2.42,,,,,,-1.91,0.07
0,9,1,-5,0,0,18,-5.0,-50,-2,-5,0,0,18,3.0,-49,2.24,,,,,,-2.16,0.06
0,10,1,-5,0,0,18,-5.0,-50,-2,-2,0,0,19,4.0,-48,2.38,,,,,,-2.41,0.06
0,11,0,-5,0,0,18,-5.0,-49,-1,-6,0,0,18,4.0,-49,8.85,,,,,,-2.69,0.25
0,12,0,-6,0,0,18,-5.0,-49,-1,-6,0,0,18,4.0,-49,9.07,,,,,,-2.97,0.24
0,13,0,-6,0,0,18,-5.0,-50,-1,-6,0,0,18,4.0,-49,2.1,,,,,,-3.25,0.06
0,14,0,-7,0,0,18,-4.0,-50,-1,-5,0,0,18,4.0,-49,9.08,,,,,,-3.5,0.24
0,15,1,-5,0,0,18,-4.0,-50,-1,-4,0,0,19,4.0,-50,3.04,,,,,,-3.75,0.07
