InfoCFO,InfoMeasurementCount,Initiatoro,Initiatorrr,InitiatorFLAGS,InitiatorGREF,InitiatorRXGAIN,InitiatorCFO,InitiatorRSSI,Reflectoro,Reflectorrr,ReflectorFLAGS,ReflectorGREF,ReflectorRXGAIN,ReflectorCFO,ReflectorRSSI,ResultDistance,ResultAoA,ResultDQF,ResultToF_Distance,ResultToF_SuccessRate,ResultInsideCircleOfTrust,ResultCFO,ResultLikeliness
0,0,-1,-7,0,0,17,-5.0,-47,-1,-5,0,0,17,4.0,-46,3.02,,,,,,0.0,0.92
0,1,0,-6,0,0,17,-4.0,-47,-2,-9,0,0,16,5.0,-45,3.07,,,,,,-0.12,0.9
0,2,-1,-4,0,0,17,-4.0,-46,0,-5,0,0,17,4.0,-45,3.06,,,,,,-0.38,0.92
0,3,1,-4,0,0,17,-5.0,-46,-1,-7,0,0,16,4.0,-45,3.02,,,,,,-0.62,0.93
0,4,0,-5,0,0,17,-5.0,-46,-2,-8,0,0,17,4.0,-46,3.0,,,,,,-0.88,0.92
0,5,-2,-6,0,0,17,-4.0,-47,1,-7,0,0,17,4.0,-47,2.98,,,,,,-1.12,0.91
0,6,-1,-8,0,0,16,-5.0,-45,-1,-6,0,0,17,4.0,-46,2.98,,,,,,-1.38,0.91
0,7,-1,-4,0,0,17,-5.0,-46,-1,-6,0,0,17,4.0,-47,3.03,,,,,,-1.62,0.91
0,8,-3,-6,0,0,17,-5.0,-47,2,-5,0,0,17,4.0,-46,3.09,,,,,,-1.91,0.9
0,9,0,-6,0,0,17,-5.0,-47,-2,-6,0,0,17,4.0,-47,3.05,,,,,,-2.19,0.89
0,10,-1,-4,0,0,17,-5.0,-46,-1,-5,0,0,17,4.0,-47,3.05,,,,,,-2.47,0.89
0,11,-1,-4,0,0,17,-4.0,-46,0,-3,0,0,17,4.0,-45,3.0,,,,,,-2.72,0.91
0,12,0,-6,0,0,17,-5.0,-46,0,-4,0,0,17,4.0,-45,3.03,,,,,,-2.97,0.91
0,13,0,-7,0,0,17,-5.0,-47,-1,-6,0,0,17,4.0,-47,2.99,,,,,,-3.22,0.92
0,14,-1,-7,0,0,17,-5.0,-47,-1,-5,0,0,17,4.0,-46,2.99,,,,,,-3.5,0.9
0,15,-1,-5,0,0,17,-5.0,-47,-1,-5,0,0,17,4.0,-46,3.03,,,,,,-3.78,0.9
