InfoCFO,InfoMeasurementCount,Initiatoro,Initiatorrr,InitiatorFLAGS,InitiatorGREF,InitiatorRXGAIN,InitiatorCFO,InitiatorRSSI,Reflectoro,Reflectorrr,ReflectorFLAGS,ReflectorGREF,ReflectorRXGAIN,ReflectorCFO,ReflectorRSSI,ResultDistance,ResultAoA,ResultDQF,ResultToF_Distance,ResultToF_SuccessRate,ResultInsideCircleOfTrust,ResultCFO,ResultLikeliness
0,0,0,-5,0,0,19,-5.0,-52,-1,-4,0,0,19,4.0,-52,2.68,,,,,,0.0,0.44
0,1,-1,-4,0,0,19,-4.0,-52,1,-4,0,0,19,4.0,-52,2.69,,,,,,-0.12,0.45
0,2,-1,-6,0,0,18,-5.0,-51,0,-7,0,0,19,4.0,-53,2.67,,,,,,-0.38,0.44
0,3,-1,-5,0,0,19,-5.0,-52,1,-7,0,0,18,4.0,-50,6.84,,,,,,-0.62,0.4
0,4,-1,-5,0,0,19,-4.0,-52,0,-4,0,0,18,4.0,-48,2.78,,,,,,-0.88,0.33
0,5,-1,-5,0,0,19,-4.0,-52,-1,-5,0,0,18,4.0,-49,6.81,,,,,,-1.12,0.4
0,6,1,-5,0,0,18,-5.0,-50,-2,-5,0,0,18,4.0,-49,6.8,,,,,,-1.38,0.38
0,7,0,-7,0,0,18,-5.0,-50,-1,-5,0,0,18,4.0,-50,6.8,,,,,,-1.62,0.38
0,8,-1,-7,0,0,19,-5.0,-53,-1,-8,0,0,19,4.0,-52,6.78,,,,,,-1.91,0.39
0,9,-22,-4,0,0,19,-5.0,-52,21,-7,0,0,18,4.0,-50,6.76,,,,,,-2.19,0.4
0,10,1,-6,0,0,18,-5.0,-51,-2,-5,0,0,19,4.0,-52,2.58,,,,,,-2.47,0.42
0,11,-2,-4,0,0,19,-5.0,-51,1,-4,0,0,19,4.0,-52,2.55,,,,,,-2.75,0.41
0,12,0,-5,0,0,19,-5.0,-52,-1,-7,0,0,18,4.0,-50,2.53,,,,,,-3.03,0.42
0,13,-1,-8,0,0,19,-5.0,-52,-1,-6,0,0,18,4.0,-50,2.57,,,,,,-3.31,0.43
0,14,-1,-6,0,0,18,-5.0,-51,0,-6,0,0,19,4.0,-52,2.59,,,,,,-3.59,0.44
0,15,1,-5,0,0,19,-5.0,-53,-2,-6,0,0,18,4.0,-51,2.6,,,,,,-3.88,0.44
