InfoCFO,InfoMeasurementCount,Initiatoro,Initiatorrr,InitiatorFLAGS,InitiatorGREF,InitiatorRXGAIN,InitiatorCFO,InitiatorRSSI,Reflectoro,Reflectorrr,ReflectorFLAGS,ReflectorGREF,ReflectorRXGAIN,ReflectorCFO,ReflectorRSSI,ResultDistance,ResultAoA,ResultDQF,ResultToF_Distance,ResultToF_SuccessRate,ResultInsideCircleOfTrust,ResultCFO,ResultLikeliness
0,0,-1,-4,0,0,15,-5.0,-40,-1,-4,0,0,15,4.0,-39,2.81,,,,,,0.0,0.87
0,1,-1,-4,0,0,15,-5.0,-40,0,-4,0,0,15,5.0,-40,2.81,,,,,,-0.12,0.87
0,2,0,-6,0,0,15,-5.0,-40,-1,-4,0,0,15,4.0,-40,2.81,,,,,,-0.44,0.86
0,3,-1,-7,0,0,15,-4.0,-40,-1,-5,0,0,15,4.0,-40,2.83,,,,,,-0.75,0.88
0,4,-1,-6,0,0,15,-5.0,-40,-1,-4,0,0,15,4.0,-39,2.82,,,,,,-1.0,0.9
0,5,1,-5,0,0,15,-5.0,-40,-2,-4,0,0,15,4.0,-40,2.73,,,,,,-1.25,0.88
0,6,1,-5,0,0,15,-5.0,-41,-2,-5,0,0,15,4.0,-40,2.8,,,,,,-1.53,0.88
0,7,-1,-7,0,0,15,-5.0,-41,-1,-5,0,0,15,3.0,-40,2.75,,,,,,-1.81,0.89
0,8,0,-7,0,0,15,-4.0,-41,-1,-5,0,0,15,4.0,-40,2.74,,,,,,-2.06,0.9
0,9,0,-6,0,0,15,-5.0,-40,-1,-3,0,0,15,4.0,-39,2.85,,,,,,-2.31,0.92
0,10,0,-6,0,0,15,-4.0,-40,-1,-5,0,0,15,4.0,-40,2.85,,,,,,-2.56,0.93
0,11,0,-6,0,0,15,-5.0,-40,-1,-4,0,0,15,4.0,-39,2.85,,,,,,-2.81,0.92
0,12,0,-7,0,0,15,-5.0,-40,-1,-5,0,0,15,4.0,-40,2.81,,,,,,-3.06,0.92
0,13,1,-5,0,0,15,-5.0,-41,-2,-5,0,0,15,4.0,-41,2.77,,,,,,-3.34,0.91
0,14,0,-7,0,0,15,-5.0,-40,-1,-5,0,0,15,4.0,-40,2.8,,,,,,-3.62,0.91
0,15,0,-6,0,0,15,-4.0,-40,-1,-5,0,0,15,4.0,-40,2.79,,,,,,-3.88,0.92
