InfoCFO,InfoMeasurementCount,Initiatoro,Initiatorrr,InitiatorFLAGS,InitiatorGREF,InitiatorRXGAIN,InitiatorCFO,InitiatorRSSI,Reflectoro,Reflectorrr,ReflectorFLAGS,ReflectorGREF,ReflectorRXGAIN,ReflectorCFO,ReflectorRSSI,ResultDistance,ResultAoA,ResultDQF,ResultToF_Distance,ResultToF_SuccessRate,ResultInsideCircleOfTrust,ResultCFO,ResultLikeliness
0,0,0,-8,0,0,16,-5.0,-45,-1,-7,0,0,16,4.0,-44,2.11,,,,,,0.0,0.87
0,1,-1,-8,0,0,16,-5.0,-44,-1,-3,0,0,16,4.0,-41,2.1,,,,,,-0.12,0.87
0,2,-1,-7,0,0,16,-4.0,-46,0,-6,0,0,16,4.0,-44,2.11,,,,,,-0.38,0.88
0,3,0,-4,0,0,16,-5.0,-42,-1,-6,0,0,16,4.0,-44,2.12,,,,,,-0.62,0.86
0,4,-1,-6,0,0,16,-5.0,-42,0,-7,0,0,16,4.0,-45,2.12,,,,,,-0.88,0.88
0,5,-1,-7,0,0,16,-5.0,-46,0,-6,0,0,16,4.0,-45,2.09,,,,,,-1.16,0.88
0,6,0,-7,0,0,15,-5.0,-41,-1,-7,0,0,16,4.0,-45,2.1,,,,,,-1.44,0.88
0,7,-1,-8,0,0,16,-5.0,-45,-1,-5,0,0,15,4.0,-41,2.1,,,,,,-1.72,0.87
0,8,-1,-6,0,0,16,-4.0,-45,0,-5,0,0,16,4.0,-44,2.1,,,,,,-1.97,0.87
0,9,0,-4,0,0,16,-5.0,-42,-1,-7,0,0,16,4.0,-44,2.1,,,,,,-2.22,0.86
0,10,-21,-2,0,0,16,-5.0,-41,20,-5,0,0,15,4.0,-41,2.1,,,,,,-2.47,0.87
0,11,-1,-9,0,0,16,-5.0,-44,-1,-5,0,0,15,4.0,-41,2.12,,,,,,-2.75,0.86
0,12,-1,-6,0,0,16,-4.0,-45,-1,-5,0,0,15,4.0,-41,2.1,,,,,,-3.0,0.86
0,13,-1,-6,0,0,16,-5.0,-45,0,-5,0,0,15,4.0,-41,2.1,,,,,,-3.25,0.87
0,14,-3,-7,0,0,16,-4.0,-45,2,-5,0,0,15,4.0,-41,2.1,,,,,,-3.5,0.88
0,15,0,-4,0,0,16,-5.0,-41,-1,-6,0,0,15,4.0,-41,2.1,,,,,,-3.75,0.87
