InfoCFO,InfoMeasurementCount,Initiatoro,Initiatorrr,InitiatorFLAGS,InitiatorGREF,InitiatorRXGAIN,InitiatorCFO,InitiatorRSSI,Reflectoro,Reflectorrr,ReflectorFLAGS,ReflectorGREF,ReflectorRXGAIN,ReflectorCFO,ReflectorRSSI,ResultDistance,ResultAoA,ResultDQF,ResultToF_Distance,ResultToF_SuccessRate,ResultInsideCircleOfTrust,ResultCFO,ResultLikeliness
0,0,-1,-5,0,0,24,1.0,-66,1,-5,0,0,24,-2.0,-67,3.8,,,,,,0.0,0.94
0,1,-1,-2,0,0,26,1.0,-68,-1,-2,0,0,26,-2.0,-68,3.68,,,,,,0.03,0.91
0,2,-1,-4,0,0,25,1.0,-69,0,-7,0,0,24,-2.0,-67,3.76,,,,,,0.09,0.93
0,3,0,-6,0,0,24,1.0,-67,-1,-5,0,0,24,-1.0,-68,3.85,,,,,,0.19,0.94
0,4,-1,-6,0,0,24,1.0,-67,-1,-6,0,0,24,-2.0,-68,3.88,,,,,,0.25,0.93
0,5,-2,-7,0,0,24,1.0,-69,1,-7,0,0,24,-2.0,-68,3.9,,,,,,0.31,0.93
0,6,-1,-8,0,0,24,1.0,-67,-1,-9,0,0,24,-2.0,-72,3.88,,,,,,0.38,0.93
0,7,-1,-1,0,0,26,1.0,-69,0,-3,0,0,26,-2.0,-70,3.95,,,,,,0.47,0.91
0,8,-1,-4,0,0,25,1.0,-69,0,-5,0,0,25,-2.0,-69,3.85,,,,,,0.56,0.91
0,9,-1,-2,0,0,26,1.0,-69,-1,-4,0,0,26,-2.0,-69,3.96,,,,,,0.66,0.9
0,10,-1,-1,0,0,26,1.0,-69,0,-3,0,0,26,-2.0,-70,3.82,,,,,,0.75,0.88
0,11,0,-3,0,0,26,1.0,-71,-1,-2,0,0,26,-1.0,-71,3.72,,,,,,0.84,0.74
0,12,-2,-3,0,0,26,1.0,-72,0,-3,0,0,26,-1.0,-72,4.02,,,,,,0.91,0.77
0,13,-1,-5,0,0,24,1.0,-67,0,-7,0,0,24,-1.0,-67,3.8,,,,,,0.97,0.94
0,14,0,-7,0,0,24,1.0,-67,-1,-5,0,0,24,-2.0,-67,3.7,,,,,,1.03,0.93
0,15,-1,-9,0,0,24,1.0,-69,-1,-4,0,0,25,-2.0,-69,3.82,,,,,,1.09,0.93
