meta.version,meta.error_msg,meta.initiator.sw_version,meta.initiator.unique_id,meta.initiator.zdc_mciq,meta.initiator.zdc_tof,meta.initiator.platform,meta.initiator.board_nr,meta.reflector.sw_version,meta.reflector.unique_id,meta.reflector.zdc_mciq,meta.reflector.zdc_tof,meta.reflector.platform,meta.reflector.board_nr,meta.testcase.f_offset,meta.testcase.meas_nr,meta.has_mciq,meta.has_tof,meta.profiling.t_total,meta.profiling.t_reference,meta.profiling.t_measurement,meta.profiling.t_parse,meta.profiling.t_pre_process,meta.profiling.t_calc_tof,meta.profiling.t_calc_mciq,meta.profiling.t_post_process,mciq.cfg.n_pairs,mciq.cfg.n_tones,mciq.cfg.t_intra,mciq.cfg.t_inter,mciq.cfg.t_intra_antenna,mciq.cfg.f_start,mciq.cfg.f_stop,mciq.cfg.f_delta,mciq.result.CDE_distance,mciq.result.CDE_dqi,mciq.result.distance,mciq.result.aoa,mciq.result.likeliness,mciq.initiator.flags,mciq.initiator.agc_idx,mciq.initiator.cfo,mciq.initiator.rssi,mciq.initiator.xtal_trim,mciq.reflector.flags,mciq.reflector.agc_idx,mciq.reflector.cfo,mciq.reflector.rssi,mciq.reflector.xtal_trim,tof.cfg.n_tones,tof.cfg.n_pairs,tof.cfg.radius_cot,tof.cfg.f_start,tof.cfg.f_stop,tof.cfg.f_delta,tof.result.in_cot,tof.result.distance,tof.result.successrate,tof.initiator.flags,tof.initiator.agc_idx,tof.initiator.cfo,tof.initiator.rssi,tof.initiator.temperature,tof.initiator.xtal_trim,tof.reflector.flags,tof.reflector.agc_idx,tof.reflector.cfo,tof.reflector.rssi,tof.reflector.temperature,tof.reflector.xtal_trim
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,0,True,True,0.45441,1626351846.525429,0.408713,0.012908,0.013538,1e-06,0.006288,0.012962,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,13.06,0.734,4.145820804595948,,0.14936495196161484,32768,18,308,-51,58,32768,18,-308,-51,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,18.7,98,2,23,0,-63,27,58,2,23,-2240,-63,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,1,True,True,0.449503,1626351846.982412,0.416642,0.012863,0.007603,1e-06,0.00605,0.006344,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.34,0.935,3.2492243728637695,,0.09243682432134846,32768,18,-424,-50,58,32768,18,1400,-50,54,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,19.2,86,2,23,0,-63,26,58,2,23,1664,-64,24,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,2,True,True,0.442913,1626351847.425639,0.410297,0.01255,0.007602,1e-06,0.006086,0.006377,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,13.16,0.798,4.273905464172364,,0.1442652335271899,32768,18,-2376,-50,58,32768,18,1156,-52,54,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,17.2,92,2,24,0,-64,27,58,2,24,-288,-65,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,3,True,True,0.439155,1626351847.865101,0.40689,0.012418,0.00755,1e-06,0.005978,0.006318,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,11.64,0.357,2.3617772541046143,,0.30676836094695026,32768,19,-2376,-52,58,32768,18,2620,-51,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,16.9,97,2,23,0,-62,27,58,2,23,-4192,-63,25,50
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,4,True,True,0.438754,1626351848.304199,0.406428,0.012412,0.007518,1e-06,0.005936,0.006459,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.37,0.67,2.3343305072784424,,0.35220727964395315,32768,19,-3596,-51,58,32768,18,3840,-51,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,20.6,100,0,23,0,-61,27,58,0,23,-288,-62,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,5,True,True,0.436635,1626351848.740948,0.402124,0.01295,0.008066,1e-06,0.006409,0.007085,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.19,0.696,2.3068837604522705,,0.3654404347652395,32768,18,308,-51,58,32768,18,-308,-50,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,17.4,95,2,23,0,-61,26,58,2,23,-288,-62,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,6,True,True,0.46217,1626351849.203114,0.405793,0.028859,0.011876,1e-06,0.007738,0.007903,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.37,0.696,2.3709260902404785,,0.3543165961535331,32768,18,-180,-52,58,32768,18,424,-52,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,16.8,95,2,23,0,-62,26,58,2,23,-2240,-63,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,7,True,True,0.420605,1626351849.624614,0.385098,0.013828,0.008211,1e-06,0.006418,0.007049,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.31,0.653,2.325181432723999,,0.3706391277983314,32768,18,-3352,-50,58,32768,18,2864,-50,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,17.8,96,2,23,0,-61,27,58,2,23,-2240,-62,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,8,True,True,0.425453,1626351850.050203,0.388209,0.014427,0.009181,1e-06,0.006545,0.00709,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.22,0.756,2.2519895515441894,,0.37465713710409976,32768,18,-1156,-50,58,32768,19,3108,-51,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,18.7,97,2,23,0,-61,27,58,2,23,0,-62,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,9,True,True,0.42077,1626351850.472673,0.38772,0.013024,0.007602,1e-06,0.006018,0.006405,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,13.1,1.0,2.3434793434143066,,0.36433152076785064,32768,18,-180,-50,58,32768,16,912,-49,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,16.3,96,2,22,0,-61,27,58,2,23,-2240,-62,25,49
