InfoCFO,InfoMeasurementCount,Initiatoro,Initiatorrr,InitiatorFLAGS,InitiatorGREF,InitiatorRXGAIN,InitiatorCFO,InitiatorRSSI,Reflectoro,Reflectorrr,ReflectorFLAGS,ReflectorGREF,ReflectorRXGAIN,ReflectorCFO,ReflectorRSSI,ResultDistance,ResultAoA,ResultDQF,ResultToF_Distance,ResultToF_SuccessRate,ResultInsideCircleOfTrust,ResultCFO,ResultLikeliness
0,0,-1,-9,0,0,16,-5.0,-45,0,-8,0,0,16,4.0,-43,2.68,,,,,,0.0,0.92
0,1,-1,-6,0,0,16,-5.0,-45,0,-7,0,0,16,4.0,-43,2.69,,,,,,-0.12,0.92
0,2,0,-7,0,0,16,-5.0,-44,-1,-5,0,0,16,4.0,-43,2.67,,,,,,-0.41,0.92
0,3,-1,-6,0,0,16,-5.0,-43,0,-6,0,0,16,4.0,-44,2.66,,,,,,-0.69,0.92
0,4,-1,-7,0,0,16,-4.0,-43,0,-6,0,0,16,4.0,-44,2.66,,,,,,-0.94,0.91
0,5,0,-7,0,0,16,-5.0,-43,-1,-5,0,0,16,4.0,-44,2.68,,,,,,-1.19,0.91
0,6,-1,-8,0,0,16,-5.0,-44,-1,-9,0,0,16,4.0,-44,2.66,,,,,,-1.44,0.92
0,7,-1,-5,0,0,16,-5.0,-44,0,-8,0,0,16,4.0,-45,2.65,,,,,,-1.72,0.91
0,8,0,-8,0,0,16,-4.0,-45,-1,-5,0,0,16,4.0,-43,2.63,,,,,,-1.97,0.9
0,9,-1,-9,0,0,16,-5.0,-46,-1,-5,0,0,16,4.0,-45,2.65,,,,,,-2.22,0.91
0,10,-1,-5,0,0,16,-4.0,-44,0,-8,0,0,16,4.0,-45,2.65,,,,,,-2.47,0.91
0,11,-1,-5,0,0,16,-5.0,-44,0,-7,0,0,16,4.0,-45,2.65,,,,,,-2.72,0.91
0,12,0,-8,0,0,16,-5.0,-45,-1,-6,0,0,16,4.0,-44,2.66,,,,,,-2.97,0.91
0,13,0,-7,0,0,16,-5.0,-45,-2,-4,0,0,16,4.0,-43,2.64,,,,,,-3.25,0.91
0,14,-1,-4,0,0,16,-5.0,-43,-1,-8,0,0,16,4.0,-44,2.64,,,,,,-3.53,0.91
0,15,-1,-6,0,0,16,-5.0,-45,0,-7,0,0,16,4.0,-44,2.63,,,,,,-3.81,0.91
