meta.version,meta.error_msg,meta.initiator.sw_version,meta.initiator.unique_id,meta.initiator.zdc_mciq,meta.initiator.zdc_tof,meta.initiator.platform,meta.initiator.board_nr,meta.reflector.sw_version,meta.reflector.unique_id,meta.reflector.zdc_mciq,meta.reflector.zdc_tof,meta.reflector.platform,meta.reflector.board_nr,meta.testcase.f_offset,meta.testcase.meas_nr,meta.has_mciq,meta.has_tof,meta.profiling.t_total,meta.profiling.t_reference,meta.profiling.t_measurement,meta.profiling.t_parse,meta.profiling.t_pre_process,meta.profiling.t_calc_tof,meta.profiling.t_calc_mciq,meta.profiling.t_post_process,mciq.cfg.n_pairs,mciq.cfg.n_tones,mciq.cfg.t_intra,mciq.cfg.t_inter,mciq.cfg.t_intra_antenna,mciq.cfg.f_start,mciq.cfg.f_stop,mciq.cfg.f_delta,mciq.result.CDE_distance,mciq.result.CDE_dqi,mciq.result.distance,mciq.result.aoa,mciq.result.likeliness,mciq.initiator.flags,mciq.initiator.agc_idx,mciq.initiator.cfo,mciq.initiator.rssi,mciq.initiator.xtal_trim,mciq.reflector.flags,mciq.reflector.agc_idx,mciq.reflector.cfo,mciq.reflector.rssi,mciq.reflector.xtal_trim,tof.cfg.n_tones,tof.cfg.n_pairs,tof.cfg.radius_cot,tof.cfg.f_start,tof.cfg.f_stop,tof.cfg.f_delta,tof.result.in_cot,tof.result.distance,tof.result.successrate,tof.initiator.flags,tof.initiator.agc_idx,tof.initiator.cfo,tof.initiator.rssi,tof.initiator.temperature,tof.initiator.xtal_trim,tof.reflector.flags,tof.reflector.agc_idx,tof.reflector.cfo,tof.reflector.rssi,tof.reflector.temperature,tof.reflector.xtal_trim
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,0,True,True,0.457042,1626351753.75252,0.41217,0.012589,0.013398,1e-06,0.006226,0.012658,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,11.02,0.383,3.2675225219726562,,0.20642776548315594,32768,19,-3352,-53,58,32768,19,2132,-53,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,21.0,97,2,20,0,-53,27,58,2,20,-288,-54,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,1,True,True,0.434216,1626351754.193734,0.40206,0.012588,0.007419,1e-06,0.005872,0.006276,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,11.22,0.461,2.270287700653076,,0.14271111270245257,32768,19,-1400,-52,58,32768,19,668,-53,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,19.9,97,2,20,0,-54,27,58,2,20,-2240,-54,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,2,True,True,0.435969,1626351754.629964,0.403689,0.012435,0.007538,1e-06,0.005955,0.006351,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,7.65,0.241,3.139437623977661,,0.16031955494191055,32768,20,-3108,-54,58,32768,20,3596,-54,52,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,20.8,98,2,20,0,-54,27,58,2,20,-2240,-54,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,3,True,True,0.438898,1626351755.069436,0.406833,0.012434,0.007433,1e-06,0.005885,0.006312,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,7.65,0.212,3.11199063873291,,0.16699771357655815,32768,19,-1156,-53,58,32768,19,180,-53,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,19.4,97,6,20,0,-54,28,58,2,20,-288,-54,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,4,True,True,0.432536,1626351755.502028,0.400602,0.012333,0.007472,1e-06,0.005845,0.006283,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,10.87,0.382,3.1302885494232178,,0.18261028082676325,32768,19,-424,-53,58,32768,19,180,-53,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,20.5,98,2,20,0,-54,27,58,2,20,-2240,-54,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,5,True,True,0.435733,1626351755.938661,0.403679,0.012309,0.007449,1e-06,0.005961,0.006334,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,10.87,0.467,3.2034804306030273,,0.1866906173007241,32768,20,-1888,-54,58,32768,19,2132,-53,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,21.0,96,2,20,0,-53,26,58,2,20,-2240,-54,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,6,True,True,0.432234,1626351756.37123,0.400018,0.012509,0.007464,1e-06,0.005943,0.006299,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,10.87,0.436,3.2492243728637695,,0.17334088629238276,32768,20,-2132,-54,58,32768,19,3108,-53,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,20.1,98,2,20,0,-54,26,58,2,20,1664,-54,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,7,True,True,0.429855,1626351756.80141,0.396444,0.012575,0.007973,1e-06,0.006164,0.006698,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,10.87,0.429,3.194331356048584,,0.19843145719077498,32768,20,1040,-54,58,32768,19,912,-53,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,19.9,95,2,20,0,-53,27,58,2,20,0,-53,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,8,True,True,0.433995,1626351757.236237,0.402009,0.01231,0.007468,1e-06,0.005921,0.006286,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,10.87,0.353,3.258373447418213,,0.19600446369330105,32768,19,-912,-54,58,32768,19,1400,-53,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,20.5,96,2,20,0,-54,27,58,2,20,-2240,-54,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,9,True,True,0.438163,1626351757.675296,0.40623,0.012319,0.007413,0.0,0.005887,0.006314,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,10.87,0.377,3.258373447418213,,0.19986266861474372,32768,20,-2132,-54,58,32768,19,2620,-53,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,20.5,97,2,20,0,-53,26,58,2,20,0,-53,25,48
