meta.version,meta.error_msg,meta.initiator.sw_version,meta.initiator.unique_id,meta.initiator.zdc_mciq,meta.initiator.zdc_tof,meta.initiator.platform,meta.initiator.board_nr,meta.reflector.sw_version,meta.reflector.unique_id,meta.reflector.zdc_mciq,meta.reflector.zdc_tof,meta.reflector.platform,meta.reflector.board_nr,meta.testcase.f_offset,meta.testcase.meas_nr,meta.has_mciq,meta.has_tof,meta.profiling.t_total,meta.profiling.t_reference,meta.profiling.t_measurement,meta.profiling.t_parse,meta.profiling.t_pre_process,meta.profiling.t_calc_tof,meta.profiling.t_calc_mciq,meta.profiling.t_post_process,mciq.cfg.n_pairs,mciq.cfg.n_tones,mciq.cfg.t_intra,mciq.cfg.t_inter,mciq.cfg.t_intra_antenna,mciq.cfg.f_start,mciq.cfg.f_stop,mciq.cfg.f_delta,mciq.result.CDE_distance,mciq.result.CDE_dqi,mciq.result.distance,mciq.result.aoa,mciq.result.likeliness,mciq.initiator.flags,mciq.initiator.agc_idx,mciq.initiator.cfo,mciq.initiator.rssi,mciq.initiator.xtal_trim,mciq.reflector.flags,mciq.reflector.agc_idx,mciq.reflector.cfo,mciq.reflector.rssi,mciq.reflector.xtal_trim,tof.cfg.n_tones,tof.cfg.n_pairs,tof.cfg.radius_cot,tof.cfg.f_start,tof.cfg.f_stop,tof.cfg.f_delta,tof.result.in_cot,tof.result.distance,tof.result.successrate,tof.initiator.flags,tof.initiator.agc_idx,tof.initiator.cfo,tof.initiator.rssi,tof.initiator.temperature,tof.initiator.xtal_trim,tof.reflector.flags,tof.reflector.agc_idx,tof.reflector.cfo,tof.reflector.rssi,tof.reflector.temperature,tof.reflector.xtal_trim
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,0,True,True,0.451691,1626351094.166522,0.406559,0.012485,0.013531,1e-06,0.006301,0.012814,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,3.76,0.729,3.7615653953552246,,0.3608889703597485,32768,20,-2620,-56,58,32768,20,2132,-55,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,17.6,95,2,21,0,-55,26,58,2,20,-288,-55,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,1,True,True,0.434702,1626351094.607786,0.401262,0.012814,0.007512,1e-06,0.006032,0.007081,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,8.39,0.635,3.7798635444641113,,0.35451766363742987,32768,20,-668,-56,58,32768,20,668,-55,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,17.9,95,2,21,0,-55,27,58,2,20,-288,-55,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,2,True,True,0.432853,1626351095.042264,0.400396,0.012253,0.007685,1e-06,0.006108,0.00641,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,8.41,0.532,3.7890121421813965,,0.3544063378643988,32768,20,-668,-55,58,32768,20,424,-55,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,17.3,95,6,20,0,-55,27,58,2,20,-2240,-55,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,3,True,True,0.457891,1626351095.499993,0.422461,0.014769,0.007887,1e-06,0.006084,0.006689,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,3.76,0.738,3.7798635444641113,,0.36078869614590986,32768,20,-2376,-55,58,32768,20,2376,-56,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,19.5,96,6,20,0,-55,27,58,2,20,-2240,-54,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,4,True,True,0.438348,1626351095.939415,0.405933,0.012679,0.007493,1e-06,0.005913,0.006329,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,8.37,0.584,3.770714469909668,,0.3486259490983212,32768,20,-2132,-56,58,32768,20,1400,-56,54,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,19.2,96,2,21,0,-55,27,58,2,20,-288,-54,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,5,True,True,0.439712,1626351096.379187,0.407045,0.012603,0.007577,1e-06,0.006029,0.006457,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,8.39,0.605,3.7615653953552246,,0.3461654704618851,32768,20,-3108,-55,58,32768,20,3352,-56,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,17.8,95,6,20,0,-55,27,58,2,20,-288,-54,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,6,True,True,0.434008,1626351096.813076,0.400909,0.012444,0.007488,1e-06,0.006164,0.007002,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,3.76,0.805,3.7249695739746094,,0.3695019453364344,32768,20,308,-55,58,32768,20,-64,-56,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,18.6,87,2,20,0,-54,27,58,6,20,-2240,-55,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,7,True,True,0.441607,1626351097.255935,0.409265,0.012437,0.007549,1e-06,0.005943,0.006412,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,3.78,0.744,3.7524163208007812,,0.40109230132391377,32768,20,-1400,-56,58,32768,20,2376,-56,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,17.2,98,2,20,0,-54,27,58,2,20,-2240,-54,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,8,True,True,0.438418,1626351097.695062,0.406121,0.012513,0.007495,1e-06,0.005944,0.006344,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,3.74,0.773,3.7524163208007812,,0.4224519386630141,32768,20,-2132,-55,58,32768,20,2132,-55,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,16.8,98,2,20,0,-54,28,58,2,20,-2240,-54,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,9,True,True,0.43542,1626351098.130687,0.40325,0.012401,0.007499,1e-06,0.00592,0.006349,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,3.75,0.792,3.7524163208007812,,0.4347452291732541,32768,20,-2132,-55,58,32768,20,1156,-55,54,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,17.5,98,2,20,0,-53,27,58,2,20,1664,-54,25,49
